,title,category
0,"불 껐는데 또 불났다…""100명 긴급대피"" 한양여대 발칵",Social
1,“마스크 쓰고 가겠다”…고열 출근 후 사망한 교사가 남긴 메시지,Social
2,359명 탄 유람선 '덜컹'…한강 분수쇼 보려고 이탈?,Social
3,광주 종량제봉투 3~4개월분 남아…독점구매 집중 점검,Social
4,"한준호, 3차 비전 발표…""AI기반 선제형 통합돌봄""",Social
5,67만 명 몰렸다... 논산딸기축제 '대박'의 진짜 이유,Social
6,중동해역 발묶인 韓선원들…체류 장기화에 하선 증가,Social
7,'130년 만의 이전' 강원특별자치도청 신청사 착공식,Social
8,"행정수도특별법 또다시 뒷순위, 세종시민 기대에 '찬물'",Social
9,이명구 관세청장 “미화 1만 불” 자진신고 캠페인,Social
10,"김정숙 여사 '옷값의혹' 고발인, 무혐의한 검사 법왜곡죄 고발",Social
11,[내일날씨] 새벽 전국 봄비 계속…오전 그치고 낮 최고 21도,Social
12,"경인아라뱃길서 남성 시신 발견… 경찰, 부검 의뢰",Social
13,6·3 경남 기초단체장 선거 대진표 윤곽,Social
14,"[속보]한양여대 하루 2차례 화재…방화 용의자 체포, 100여명 대피",Social
15,"유명 프로게이머, 부친 명의 주식거래… 국세청 ""세금 회피"" 적발",Social
16,강기정 '신정훈 선대본부장' 가능하나…광주시장 직무 복귀?,Social
17,시의장-지역위원장 고성·욕설 충돌…순천 민주당 내홍 격화,Social
18,"[영상] ""한국 친구 추억하며""…4명에 새 삶 선물한 중국인",Social
19,‘순혈주의’에 강제당한 입양…‘혼혈’ 입양인들 첫 진실규명 신청,Social
20,'음료 3잔' 횡령 혐의…카페 알바생 검찰 송치 논란,Social
21,"[단독] ‘특혜 논란’ 여론조사 업체 대표, 김병기에 후원금 건넨 정황",Social
22,간병인이 입소자 폭행하도록 방치한 80대 요양병원장 벌금형,Social
23,′행정수도=세종′ 담은 특별법 심사 국토위 소위 산회로 불발,Social
24,"[자막뉴스] 40도 고열' 버티며 출근한 교사…""아파서 눈물 나"" 마지막 메시지",Social
25,"""쯔양 먹고 토하는 것 봤다""… 허위 제보 대학 동창, 벌금 700만 원",Social
26,"“정정하다는 말도 부족”…94세 이길여, 또다시 ‘동안 외모’ 화제",Social
27,[내일 날씨] 오전까지 전국 '비' 이어져… 낮부터 최고 21도 '포근',Social
28,안성 평택제천고속도로 3중 추돌사고로 1명 부상…차량 정체,Social
29,김부겸 대구시장 등판에 국민의힘 '위기 경보' 발령 총력전,Social
30,행정수도 특별법 또 멈췄다…후순위에 막혀 '심사도 무산',Social
31,[주장] 기간제교사 성과상여금 차별 폐지하라,Social
32,美 '북창동 순두부' 창업자 이태로 회장 별세,Social
33,"이 대통령 향해 '막말' 김미나, 명예훼손 혐의 또 법정 선다",Social
34,"산불, 고기압, 가뭄 때문에 ... 3월 미세먼지, 작년보다 심했다 [영상]",Social
35,김태균 서울교통공사 사장 취임 첫날부터 현장 행보...“안전 최우선”,Social
36,“이게 다 맥주병이야?” 울산서 좌회전 트럭 참사,Social
37,"""尹 내란 1심, 전두환 내란 대법원 판결에도 어긋나"" 특검 항소이유서 제출",Social
38,"종량제 봉투 가격, 어떻게 정해질까? “봉투 값 아니라 ‘쓰레기값’”[정리뉴스]",Social
39,한양여대서 하루 2번이나 화재…방화 용의자 검거(종합),Social
40,"이재명 대통령 ""제주 전기차 100% 전환 목표 앞당겨야""",Social
41,"'현직 의원'들의 세 대결로 변질된 민주 경선…단일화인가, 기득권 야합인가",Social
42,"한양여대서 하루 두 차례 화재…100여 명 대피, 방화 가능성 조사",Social
43,단일화 실패는 필패…부산교육감 올해 선거 변수도 단일화?,Social
44,화장실에 신입생 감금하고 폭행·촬영까지…중학생 송치,Social
45,양구 국토정중앙면 산불 1시간여만에 진화…강원 사고 잇따라,Social
